location,gender,city,text,klout,latitude,longitude,date,followers,image,sreen_name,sentiment,TuesdayTemp,WednesdayTemp,ThursdayTemp,FridayTemp
"Atlanta, GA",mostly_male,Atlanta,@StrawberryKlutz lmao you so lame! I'll send it when I get on a computer,43,33.75330335,-84.38696751,"Wed, 03 Apr 2013 12:53:07 +0000",2087,http://a0.twimg.com/profile_images/3107669438/06f20d3751442546e60ffe6c62efe3b5_normal.jpeg,8millionst0ries,1,56.7,53.4,45.4,41.1
"Brookside, DE",,Brookside,"I got like 3 clothing brands in my head ready to play with smh I got the masterplan, ideas all dope, ya goin die off me an my Fam design _Ÿ’¯âœ_",37,39.67711631,-75.72505019,"Wed, 03 Apr 2013 12:53:08 +0000",338,http://a0.twimg.com/profile_images/3405514621/0a99af74485b2b56e981f4434c302614_normal.jpeg,tyflight,-4,39.8,39.8,37.8,41
"Chesterfield, MI",mostly_male,Chesterfield,If yu darvish did that the Astros I can only imagine what Verlander will do,,42.66639067,-82.84521707,"Wed, 03 Apr 2013 12:53:08 +0000",46,http://a0.twimg.com/profile_images/3249300015/8af5e02362e4f0b12a3e85e1bf76022d_normal.jpeg,eddieweber23,0,31.2,31.6,37.2,39.8
"Florida, US",,Florida,â€œ@Kairaboo15: But mom how am I supposed to buy drugs with a gift cardâ€ù,50,28.57481318,-81.7084336,"Wed, 03 Apr 2013 12:53:08 +0000",800,http://a0.twimg.com/profile_images/3398262146/27a208c96bad713ad9a3e6417e09fa19_normal.jpeg,kvlli,0,71.9,72.3,70.7,68.4
"Washington, DC",,Washington,So tired. Technically its 5:52 for me right now smh #JetLag,42,38.9063877,-77.0639858,"Wed, 03 Apr 2013 12:53:09 +0000",107,http://a0.twimg.com/profile_images/3432893166/9ec3515e4081ec98cc99a37a0b86a6c7_normal.jpeg,hannah7595,-4,44.3,43.9,40.5,40.7
"Blacksburg, VA",female,Blacksburg,Good lord. Having crazy nightmares all this week. Praying for some #sweetdreams.,45,37.215263,-80.44434912,"Wed, 03 Apr 2013 12:53:09 +0000",241,http://a0.twimg.com/profile_images/2682048786/514e4af0123651bc9906a953313c5c92_normal.jpeg,RedKranz,-4,40.8,39.2,36.5,35
"Iowa City, IA",female,Iowa City,Bored,,41.6678379,-91.5562211,"Wed, 03 Apr 2013 12:53:09 +0000",453,http://a0.twimg.com/profile_images/3122413780/aeb28bb1ef239ab34579cb2dfe833f8d_normal.jpeg,JordanLaRue17,-3,32.2,35.2,41.7,46.5
"Warren, MI",,Warren,About to get the gun app and shoot people that annoy me in class... #StressRelief #BANGBANG _Ÿ”«_Ÿ”«_Ÿ”«,35,42.5068959,-82.97411987,"Wed, 03 Apr 2013 12:53:09 +0000",586,http://a0.twimg.com/profile_images/3428770591/6d1c6675b865cbd589a98dc015fa5731_normal.jpeg,AGlister,-5,31.7,32.9,38.4,43.9
"Cincinnati, OH",male,Cincinnati,Witnessing Wednesday!!!!! Lets go!,35,39.14245059,-84.49281964,"Wed, 03 Apr 2013 12:53:09 +0000",185,http://a0.twimg.com/profile_images/2264735497/iBRaB7g9_normal,JoshuaOchonueve,0,37.8,36.8,41.5,35.6
"Harrisburg, OR",mostly_male,Harrisburg,@dame_austin @danielrbrock22 @smithlogan12 @vikavicvic you know what?,40,44.2613004,-123.1562034,"Wed, 03 Apr 2013 12:53:09 +0000",121,http://a0.twimg.com/profile_images/2700551684/2ed76d25da88c6e9fca48c3c27a5613d_normal.jpeg,BallAlex2,0,55.2,52.6,56.9,53.6
"Coral Springs, FL",,Coral Springs,"just let me lay you down, down, down... I'm tryna lay you down, down, down... â™¥îê˜",36,26.2737212,-80.2115864,"Wed, 03 Apr 2013 12:53:09 +0000",1317,http://a0.twimg.com/profile_images/3280721009/4243206da9d64a1fcd60f3ee26fa2da9_normal.jpeg,fvckmomo,0,71.7,74.2,74.9,69.1
"Girdler, KY",,Girdler,iRun. _Ÿ‘Ÿ_Ÿ‘Ÿ,35,36.91189357,-83.81853026,"Wed, 03 Apr 2013 12:53:09 +0000",996,http://a0.twimg.com/profile_images/3456616039/e38c12a33c965ae0fb44dfe96cc6dc49_normal.jpeg,GoHamRunning,,43.4,41.5,42.2,40.2
"Texas, US",,Texas,@Thebe_Jasmine good I'm doing it then. Lol,38,30.30158998,-97.32538364,"Wed, 03 Apr 2013 12:53:09 +0000",531,http://a0.twimg.com/profile_images/3468761048/37ac8ea0930d9a3378f0dd54867598e8_normal.jpeg,Haywood_11,5,69.1,56.1,49.9,47
"Norwalk, CT",female,Norwalk,@RobinElOrfanato BUENOS DIA MI HERMANO ESPERO QUE TENGA UN LINDO DIA #ELORPHANATO,51,41.0958545,-73.4268265,"Wed, 03 Apr 2013 12:53:10 +0000",548,http://a0.twimg.com/profile_images/3437491525/25ea19745fa2ce4e5916376bc669f8da_normal.jpeg,JMUGA,0,38.3,38.5,38.1,39.7
"Berkeley, NJ",female,Berkeley,http://t.co/QM4Vy8WxUw,44,39.89145151,-74.20384339,"Wed, 03 Apr 2013 12:53:10 +0000",411,http://a0.twimg.com/profile_images/3464432308/f2572b1ece1e0b54cadffb6c5c8c42a0_normal.jpeg,MarisaChiappini,,44.1,45.1,48.2,50.1
"The Altman Building, New York",female,The Altman Building,Excited to be at #IMS13 today and to see friendly faces (@ Altman Building w/ 3 others) http://t.co/yaQcCD8KdW,62,40.7403477,-73.99656773,"Wed, 03 Apr 2013 12:53:10 +0000",2155,http://a0.twimg.com/profile_images/2674356302/96948d3a233c339ed3229284ad852343_normal.jpeg,agquillinan,4,38.8,39,39.2,43.8
"Manorville, NY",female,Manorville,Omg _Ÿ˜ç,36,40.83198086,-72.82384734,"Wed, 03 Apr 2013 12:53:10 +0000",325,http://a0.twimg.com/profile_images/3403014147/905b7678e2ae1901e7f8ebfc3049ef9a_normal.jpeg,lilmisjess3,,38.1,38.5,37.5,41.4
"Phoenix, AZ",female,Phoenix,"Oh. Hi, beautiful, @PatrickStump. I hope your day is fantabulous. Arizona has the hots for you. luv u.",41,33.59145,-112.125051,"Wed, 03 Apr 2013 12:53:10 +0000",555,http://a0.twimg.com/profile_images/3470967420/750f0b17ae961833e14b7c7f856ea7ee_normal.jpeg,damageivedone,6,66.9,72.2,73.4,75.1
"Ankeny, IA",mostly_male,Ankeny,@scabmaster5000 no,40,41.7211755,-93.6072675,"Wed, 03 Apr 2013 12:53:10 +0000",254,http://a0.twimg.com/profile_images/3403627515/7603887d3c95c6a4f1bce92c204ab77b_normal.png,Hovey11,0,32.2,35.5,44.4,46.6
"Bridgetown North, OH",,Bridgetown North,"Thank you Maddie, for helping me choose my new header.",,39.15902862,-84.62780292,"Wed, 03 Apr 2013 12:53:10 +0000",428,http://a0.twimg.com/profile_images/3436105949/cb0f5708536a7c72985e829fc65864df_normal.jpeg,yocuhh,0,36.8,38.2,42.6,38.2
"South Bend, IN",,South Bend,Waking up to Duey's text &gt;&gt;&gt;&gt;,37,41.6716,-86.29957,"Wed, 03 Apr 2013 12:53:10 +0000",448,http://a0.twimg.com/profile_images/3457558165/1bd4975778e5542de0a98ab0ba7940b6_normal.jpeg,biancaaaar_,,33.1,30.5,36.5,42.1
"Milwaukee, WI",,Milwaukee,Be careful who you open up to. Some people will refuse to believe the truth. And sometimes that can ruin alot.,40,43.07246708,-87.88264593,"Wed, 03 Apr 2013 12:53:10 +0000",142,http://a0.twimg.com/profile_images/3438626030/58ee9e5cc535fd0475811fb28abebada_normal.jpeg,JohnathanKoller,0,32.5,33.2,39.1,44.7
"Kendale Lakes-Lindgren Acres, FL",mostly_male,Kendale Lakes-Lindgren Acres,Rollup da grass rollup da grass,37,25.71239681,-80.45118168,"Wed, 03 Apr 2013 12:53:11 +0000",212,http://a0.twimg.com/profile_images/3459906850/85d6dcaccdda62e632c3255cc035fec2_normal.jpeg,kashedkevin,,71.8,75.1,77,71.2
"Houston, TX",mostly_female,Houston,Mmmmmm.....,39,29.687432,-95.2781814,"Wed, 03 Apr 2013 12:53:11 +0000",125,http://a0.twimg.com/profile_images/3325634257/973fee9bcd8d6d07ee9c5caac0f2913b_normal.jpeg,Tiny_Gutierrez,,67.6,63,53.6,52
"Gilmer, NC",,Gilmer,GoodMorning :),41,36.0734974,-79.7763861,"Wed, 03 Apr 2013 12:53:11 +0000",1549,http://a0.twimg.com/profile_images/3448697181/8de5b56a125cae31e81c5a9d01712d49_normal.jpeg,mixedmami_xoxo,3,49.6,48.5,42.5,35.5
"Manila, AR",,Manila,@steph_imyours Sugapa naman yon sa mustache :( :) hahah baka nga o-Order na lang kami online e -_-,39,35.8854435,-90.163247,"Wed, 03 Apr 2013 12:53:11 +0000",204,http://a0.twimg.com/profile_images/3437787829/878977560fac7881998bcd2a772e406f_normal.jpeg,BellyMaryy,0,44.6,46.9,43.8,44.7
"Paradise, NV",,Paradise,JAM gonna go off http://t.co/4ngFTEYDo7,53,36.060925,-115.133753,"Wed, 03 Apr 2013 12:53:11 +0000",2716,http://a0.twimg.com/profile_images/3373813975/0889acbeb97c63419daae7c2867655e9_normal.jpeg,DjG2uk,,67.8,70,72.5,76.6
"Spring Lake, NC",male,Spring Lake,@Gil0811 k,,35.1816253,-78.9582842,"Wed, 03 Apr 2013 12:53:11 +0000",58,http://a0.twimg.com/profile_images/3066090600/5821e273f6bd38db58495db89dbdb175_normal.jpeg,chadfisher1994,0,55.6,52.9,45.9,41.1
"Manhattan, NY",male,Manhattan,The age of austerity? A review of public expenditures and adjustments in 181 countries - http://t.co/nMUhEKcCF6  #post2015,66,40.780881,-73.9771425,"Wed, 03 Apr 2013 12:53:12 +0000",5403,http://a0.twimg.com/profile_images/2518816217/f3f4z0it5fgwk4k0bsa0_normal.jpeg,olavkjorven,-4,38,38.4,39.9,43.8
"West Windsor, NJ",,West Windsor,At least I can do my makeup _Ÿ’Å,43,40.25867358,-74.61594377,"Wed, 03 Apr 2013 12:53:12 +0000",107,http://a0.twimg.com/profile_images/3421666556/a253c8a9ff7efe6dff888203b62232ad_normal.jpeg,_maddien,0,38.6,38.4,39.1,41.5
"Lincoln, NE",mostly_female,Lincoln,@Kelknud I hope you enjoy my new twit pic. #yourewelcome,41,40.82848545,-96.70715901,"Wed, 03 Apr 2013 12:53:12 +0000",379,http://a0.twimg.com/profile_images/3470972668/2c4325f4519f2d97b1d3bb59b36aad05_normal.jpeg,Ashleynicole017,1,34.1,42.3,44.5,43.7
"Perry, IN",mostly_female,Perry,@Wyndi_Lady @mbuck1ngham @wwwbigbaldhead me too. At work. We got this girls. Have a good 1st day!,42,39.72003425,-86.16739025,"Wed, 03 Apr 2013 12:53:12 +0000",101,http://a0.twimg.com/profile_images/3389526670/cd843869dacbb524b0336b30612bb621_normal.jpeg,Beloved31075,10,34.6,37.3,43.2,42.8
"Ottawa, Ontario",,Ottawa,@andyman230 for what period?,40,45.40016813,-75.69382808,"Wed, 03 Apr 2013 12:53:12 +0000",479,http://a0.twimg.com/profile_images/3459319819/48b41b28254ff47496f76570979fa944_normal.jpeg,lewisfking,0,28.2,30.7,34.3,34.6
"Ohio, US",,Ohio,That 2 hour nap though &gt;&gt;&gt;&gt;&gt; _Ÿ˜ç,40,39.41016464,-84.35380049,"Wed, 03 Apr 2013 12:53:12 +0000",174,http://a0.twimg.com/profile_images/3468783977/8e5bad7ce9f09c995eb51e1bb878a6b2_normal.jpeg,CarrollAshleigh,,35.3,35.3,40.7,37.1
"Southwest Arapahoe, CO",female,Southwest Arapahoe,#hablandoNserio ya me canse de hablar del #Pajarito voy a esperar a que #Maburro la cague otra vez se me acabo el repertorio! _Ÿê£,,39.58168921,-104.8717965,"Wed, 03 Apr 2013 12:53:12 +0000",172,http://a0.twimg.com/profile_images/3084493534/f22a50774bcd4bf9e7023da640ffeef4_normal.jpeg,marielldluna,-1,38.3,40.5,49.4,53.4
"Pigeon, IN",male,Pigeon,Or woman for that matter!,34,37.9569676,-87.5514908,"Wed, 03 Apr 2013 12:53:12 +0000",486,http://a0.twimg.com/profile_images/3409911127/3903f40b7f483d8351634d59af055f7b_normal.jpeg,DaH3artbrak3CID,0,39.4,41.2,46.2,39.8
"Jackson, TN",male,Jackson,Happy birthday! @728Lovely_Nik enjoy,33,35.67658439,-88.86289475,"Wed, 03 Apr 2013 12:53:12 +0000",384,http://a0.twimg.com/profile_images/3421360007/7ae65899ba8d9cdd220565b0e1df1a4c_normal.jpeg,Aj_robs,10,46.3,45.3,45.3,46.1
"Woodbridge, CT",female,Woodbridge,Gm insta $$$$ flow @ rina's work place http://t.co/IeJYC6e5NX,21,41.3508907,-72.9941774,"Wed, 03 Apr 2013 12:53:12 +0000",781,http://a0.twimg.com/profile_images/2403289466/IPaUpU4w_normal,Big_Booty_Jones,,37.5,37.5,37.4,41.9
"East Adams, CO",,East Adams,Fuck no I got like $60 in 1's I shouldn't of cashed $100 at the strip,46,39.7392589,-104.5443164,"Wed, 03 Apr 2013 12:53:12 +0000",441,http://a0.twimg.com/profile_images/3343510941/e7893daecc6b4c86db68fbf90f8fd3fa_normal.jpeg,ErnyT6,0,40.2,43.8,49.4,50.7
"San Antonio, TX",,San Antonio,"Light it, hit it, puff it, pass it",44,29.46259618,-98.36664676,"Wed, 03 Apr 2013 12:53:13 +0000",221,http://a0.twimg.com/profile_images/3411374802/04bb2aa24a4c45a5a6d9e07ab4549d76_normal.jpeg,JohnJ_TheTruth,0,71.5,57.7,54.4,51.2
"Manalapan, NJ",mostly_female,Manalapan,@johnnydanger237 HASHTAG TRUTH. You beat the system _Ÿ‘è,,40.28965944,-74.33554933,"Wed, 03 Apr 2013 12:53:13 +0000",730,http://a0.twimg.com/profile_images/3426153755/3581d7f87ea3058743248f916c5dbd70_normal.jpeg,Alliegorenc,0,39.3,39.7,38.8,40.4
"Cullman, AL",,Cullman,"I'm at The Corner Of Get A Map And F&amp;$@ Off (Cullman, AL) http://t.co/LAxuY1zaPQ",,34.17483833,-86.84384008,"Wed, 03 Apr 2013 12:53:13 +0000",48,http://a0.twimg.com/profile_images/3235847024/3c19f2899a092204842889fd5a23592b_normal.jpeg,BamaRedwingsFan,0,51.5,45.1,44,41.5
"Hampton, VA",male,Hampton,@LoveeMikaa OH OK..,43,37.0230015,-76.292459,"Wed, 03 Apr 2013 12:53:13 +0000",844,http://a0.twimg.com/profile_images/3470969423/0ddc29376fb40aebd1447bdbfedf5576_normal.jpeg,Markski_,0,49.4,45.4,43.1,45.1
"Carolina Beach, NC",mostly_female,Carolina Beach,"â€œ@GeminiTerms: No matter what happens between you, you and #Gemini will always have something special.â€ù",32,34.02153846,-77.89726961,"Wed, 03 Apr 2013 12:53:13 +0000",434,http://a0.twimg.com/profile_images/3463520248/7a79bff125a79fc353df72b2a570cf66_normal.jpeg,courtneyewise,3,55.5,51.6,51.2,52.4
"Mineola, NY",,Mineola,â€œ@JustJared: Glee's Heather Morris: Pregnant with First Child? http://t.co/zOCW5uIgB6â€ù WAAAAAT oh god,56,40.74818169,-73.62591469,"Wed, 03 Apr 2013 12:53:13 +0000",493,http://a0.twimg.com/profile_images/3438044501/714dbbc150e586596043ec61224d22f9_normal.jpeg,NiS_28,4,38.1,38.4,39.1,41.1
"Tanner-Williams, AL",,Tanner-Williams,I swear my first block teacher got me all tha way fucked up,39,30.6577523,-88.2586221,"Wed, 03 Apr 2013 12:53:13 +0000",500,http://a0.twimg.com/profile_images/3461395711/d78383ea646f921cfea7b596dea3ac54_normal.jpeg,hentobean_,-4,62.4,60.4,58.4,53.8
"Temple, TX",male,Temple,Every end has a start. Every start has a decision. Every decision has a reason. And every reason has a meaning.,31,31.11042073,-97.36522493,"Wed, 03 Apr 2013 12:53:13 +0000",73,http://a0.twimg.com/profile_images/3468605281/796d7a0b0d49884f3c2c07b149688380_normal.jpeg,BrandonKindla,0,67.4,54.9,48.2,45
"Boca Ciega, FL",female,Boca Ciega,@isabellalynnnn I am proud!,41,27.85294751,-82.81592717,"Wed, 03 Apr 2013 12:53:13 +0000",206,http://a0.twimg.com/profile_images/3453801478/c3877a20636aa05d13a7a0a276e44c25_normal.jpeg,meagankwhittle,12,66.5,69.4,70.8,68.7
"Mount Lebanon, PA",male,Mount Lebanon,@gregorynfranko every time you get a day off I will favorite it. Its well deserved. #cookoutsaturday break out the roulette shot glass game,37,40.3782646,-80.0407252,"Wed, 03 Apr 2013 12:53:13 +0000",117,http://a0.twimg.com/profile_images/3450511240/3ebc472afaa722bac83399aa223fa373_normal.jpeg,GreggBilly,6,32,32,35.2,43.5
"Store Opening Solutions Inc, Murfreesboro",female,Store Opening Solutions Inc,"I'm at Store Opening Solutions (Murfreesboro, TN) http://t.co/emwpkMjv13",,35.82656596,-86.39747793,"Wed, 03 Apr 2013 12:53:13 +0000",193,http://a0.twimg.com/profile_images/1109140505/Tina_normal.jpg,tmarin7305,,45.2,46.5,46.3,46.5
"Ottawa, Ontario",,Ottawa,@SenorReyes12 good hope today was better than yesterday _Ÿ˜èâ_¡,39,45.41856339,-75.7016547,"Wed, 03 Apr 2013 12:53:13 +0000",668,http://a0.twimg.com/profile_images/3438452074/d8d0428676663d2bbb90f918c2d7b441_normal.jpeg,therealJalapeno,4,28.2,30.7,34.3,34.6
"Indiana, US",mostly_male,Indiana,I need a swisher STILL! I don't wanna drive to get one,34,41.5112265,-88.0759412,"Wed, 03 Apr 2013 12:53:13 +0000",640,http://a0.twimg.com/profile_images/3243572425/230b4d4b83cdbfe30d271c646a72e55b_normal.jpeg,MiliMyOnlyJOY,0,32.7,34.7,38.8,45.9
"Houston, TX",,Houston,@MsDarknLoveLy25 you were quiet about them celtics this year go be a pelicans fan lmao...,46,29.86810327,-95.44464827,"Wed, 03 Apr 2013 12:53:13 +0000",3597,http://a0.twimg.com/profile_images/3436854372/9a5151b8181cd539e1f920ba00b759d2_normal.jpeg,Mousethoughts,2,67,63.1,52.7,50.9
"Newark, NJ",mostly_female,Newark,Its not about beauty I had that my whole life its a lil bit more than that what's behind the beauty,35,40.71267986,-74.20816517,"Wed, 03 Apr 2013 12:53:13 +0000",133,http://a0.twimg.com/profile_images/2388452938/2ttboyw66g3eggrq8136_normal.jpeg,Wavy_SoSwagged,4,39.6,39.5,40.6,43.4
"Mooresville, IN",female,Mooresville,"Seriously though, the struggle of trying to find your phone without your contacts or glasses.",34,39.60067034,-86.35744398,"Wed, 03 Apr 2013 12:53:13 +0000",789,http://a0.twimg.com/profile_images/3396670216/a7a03f5fcb25961dd2c8a98b64c5d7d8_normal.jpeg,ordinarybailey,-5,34.6,37.3,43.2,42.8
"Union, NJ",male,Union,Woke up to go fucking shovel stones down the shore all damn day!!,44,40.71064405,-74.28793363,"Wed, 03 Apr 2013 12:53:13 +0000",308,http://a0.twimg.com/profile_images/3346345097/f6c25a17bec71b8483b1b6a3780cc778_normal.jpeg,snowdatkerr,-4,40.8,40.7,41.7,43.4
"Westfield, MA",female,Westfield,@sleeepyleee or later today,,42.1472782,-72.754164,"Wed, 03 Apr 2013 12:53:14 +0000",823,http://a0.twimg.com/profile_images/3464192216/cb0234557d2c2faeb9541094abc20b89_normal.jpeg,mandii314,0,34,35.5,39.7,39.7
"La Crosse, WI",female,La Crosse,"Man, four hours of sleep is gonna kill me.",38,43.8178959,-91.2413561,"Wed, 03 Apr 2013 12:53:14 +0000",196,http://a0.twimg.com/profile_images/2982029623/bbe4c1b097067030a2864387aedd4ea1_normal.jpeg,StephO1821,-7,29.6,31.4,43.2,35.7
"Pawtucket, RI",,Pawtucket,"@NormaDoiron TY 4 RT.  I need help getting the word out about my ""Celebrating Women in Business""project on @indiegogo http://t.co/M3ZxpaiivE",59,41.877399,-71.378075,"Wed, 03 Apr 2013 12:53:14 +0000",2186,http://a0.twimg.com/profile_images/72387895/gail_small_hat_normal.jpg,GailAhlers,5,37.1,37.2,39.7,38.5
"Miami, FL",,Miami,Â¡CONCEJAL HIJO PUTA! #DepMariviBilbao,41,25.7824075,-80.2294585,"Wed, 03 Apr 2013 12:53:14 +0000",725,http://a0.twimg.com/profile_images/3429801988/9d41d4e72ec7c0a9c44b031ef9d1312d_normal.gif,DaniValenti2530,0,74.2,76.3,77.2,72.3
"Gulf Shores, AL",female,Gulf Shores,â€œ@SunnyBill1: I just.....I just wanna sleep _Ÿ˜©_Ÿ˜_â€ù,39,30.29708945,-87.67399878,"Wed, 03 Apr 2013 12:53:14 +0000",143,http://a0.twimg.com/profile_images/3166631767/80d569d37e9437c1a15d5377e7c40193_normal.jpeg,YeagerNicole,,65.7,64.2,62.9,59.4
"Brick, NJ",female,Brick,@KaitKishbaugh LOL!! That would happen to you,39,40.06008303,-74.09145379,"Wed, 03 Apr 2013 12:53:14 +0000",97,http://a0.twimg.com/profile_images/3454618847/8fcf4054b6c5f95168f0340adcc93bd2_normal.jpeg,Alawsonn,0,39.3,39.7,38.8,40.4
"Time Warner Cable, Middletown",male,Time Warner Cable,"I'm at Time Warner Cable Corporate office. (Middletown, Ny) http://t.co/CtzDRNjp7o",,41.46809721,-74.37458042,"Wed, 03 Apr 2013 12:53:14 +0000",153,http://a0.twimg.com/profile_images/3165036960/f58c9b9f819fe11469e45c9af909cf71_normal.jpeg,bviasource,0,34.5,35.8,39.7,41.7
"Salem, VA",female,Salem,@EmilyHunter15 your momma is praying!!,16,37.2922522,-80.0547122,"Wed, 03 Apr 2013 12:53:14 +0000",19,http://a0.twimg.com/profile_images/1471384834/my_twit_pic_normal.jpg,bkwrmeetwit,0,43.8,43.8,38.9,34.7
"Oregon, US",unisex,Oregon,"I'm at Black Rock Coffee Bar (Beaverton, OR) http://t.co/MVZJRtou8n",,45.51492938,-122.8324591,"Wed, 03 Apr 2013 12:53:14 +0000",496,http://a0.twimg.com/profile_images/1563814416/image_normal.jpg,dklimke,0,55.2,50.8,55.3,56.1
"Hagerstown, MD",,Hagerstown,"Yes, lets keep the small talk.",28,39.6486391,-77.7169399,"Wed, 03 Apr 2013 12:53:14 +0000",81,http://a0.twimg.com/profile_images/3458261350/86f4bc1f595cc6733eab3299097cef8b_normal.jpeg,_ivxx,0,36.8,36.4,34.8,41.5
