station,WBAN ,date,temp,dewpoint, visibility,windspeed,precipitation,snow_depth,indicator
701330,26616,20130401,2.1,-2,10,2, 0.00G,5.9,0
701330,26616,20130402,10.5,5,10,3.4, 0.00G,5.9,0
701330,26616,20130403,21.1,12.9,10,6.8, 0.00I,999.9,0
701333,26643,20130401,-2.6,-6.3,7.2,1.9, 0.00G,999.9,100000
701333,26643,20130402,-2.2,-6.8,9,1.5, 0.00G,999.9,0
701333,26643,20130403,5.9,0.6,10,1, 0.00I,999.9,0
701335,26648,20130401,-1.1,-7.9,9.7,1.4, 0.00I,999.9,0
701335,26648,20130402,12.7,4.3,10,4.7, 0.00I,999.9,0
701335,26648,20130403,21.2,5,10,9.4, 0.00I,999.9,0
701337,99999,20130401,-0.6,-5.7,7.7,7.2, 0.00H,999.9,101000
701337,99999,20130402,-3.3,-6.5,9.5,10.6, 0.00A,999.9,0
701338,99999,20130401,7.2,4.5,4.9,7.1, 0.00D,999.9,101000
701338,99999,20130402,24.5,22.2,9.5,7.9, 0.00H,999.9,1000
701486,26642,20130401,-4.3,-8.4,9.5,2.4, 0.00G,999.9,0
701486,26642,20130402,8.2,3.4,10,8.7, 0.00G,999.9,0
701486,26642,20130403,15.9,8,9.3,16.3, 0.00A,999.9,0
701620,26508,20130401,-2.2,9999.9,10,6.4, 0.00I,999.9,0
701620,26508,20130402,-9.3,9999.9,10,9.8, 0.00I,999.9,0
701625,26542,20130401,9.1,4,8.3,4.9, 0.00I,999.9,0
701625,26542,20130402,-3,-10.5,7.4,5.7, 0.00I,999.9,0
701625,26542,20130403,-9.8,-18.6,7.8,6.1, 0.00I,999.9,0
701718,26551,20130401,15.9,11.2,9.6,2, 0.00I,999.9,0
701718,26551,20130402,17.5,5.5,10,7.9, 0.00I,999.9,0
701718,26551,20130403,17.2,5.2,10,9.4, 0.00I,999.9,0
701719,99999,20130401,15.6,11.1,8.5,3.6, 0.01G,999.9,1000
701719,99999,20130402,15.2,8,9.9,2.9, 0.00G,999.9,1000
701730,26535,20130401,25,20.6,9.1,3.6, 0.01G,999.9,1000
701730,26535,20130402,20.2,12.4,10,3.8, 0.04G,999.9,0
701740,26533,20130401,24.2,18.2,7.6,4.9, 0.08G,22.8,101000
701740,26533,20130402,17.5,6,10,3.1, 0.00G,22.8,0
701740,26533,20130403,18.6,0.9,10,3.7, 0.00I,22.8,0
701780,26529,20130401,28,20.6,10,3.2, 0.00G,11.8,0
701780,26529,20130402,19.8,9.7,10,4.4, 0.00G,11,0
701780,26529,20130403,21.7,6.4,10,8.6, 0.00I,999.9,0
701793,26524,20130401,30.2,28.8,7.7,4.2,99.99,999.9,1000
701793,26524,20130402,26,24.5,10,5.8, 0.00I,999.9,0
701940,26413,20130401,23.6,11.7,10,4.9, 0.00I,999.9,0
701940,26413,20130402,13.9,1.8,10,8.9, 0.00I,999.9,0
701940,26413,20130403,13.5,-0.9,10,8.9, 0.00I,999.9,0
701945,46405,20130401,8.9,1.8,9.9,1.8, 0.00I,999.9,0
701945,46405,20130402,5.1,-5.2,10,4, 0.00I,999.9,0
701945,46405,20130403,6.6,-10.6,10,4.9, 0.00I,999.9,0
701975,26422,20130401,27.3,16,10,2, 0.00G,999.9,0
701975,26422,20130402,16.9,1.9,10,3.2, 0.00G,999.9,0
701975,26422,20130403,14,-4.7,10,4.4, 0.00I,999.9,0
701995,26628,20130401,6.8,-5.9,7,2.7, 0.00I,999.9,0
701995,26628,20130402,8.7,-3,10,5.2, 0.00I,999.9,0
701995,26628,20130403,23,15.2,10,6.8, 0.00I,999.9,0
702000,26617,20130401,6.7,4.3,6.2,3.8, 0.00G,24,101000
702000,26617,20130402,9.8,6.1,10,2.1, 0.00G,24,0
702000,26617,20130403,22.7,16.9,10,1.4, 0.00I,999.9,0
702004,99999,20130401,14.4,10.3,8.5,2.3, 0.00H,999.9,1000
702004,99999,20130402,20.1,11.5,9.6,4.8, 0.00A,999.9,0
702005,26647,20130401,18.6,15.1,9,1.9, 0.00I,999.9,0
702005,26647,20130402,23.9,19,10,2.2, 0.00I,999.9,0
702005,26647,20130403,28.8,21.8,10,6, 0.00I,999.9,0
702006,26502,20130401,25.3,17,10,4.5, 0.00G,999.9,0
702006,26502,20130402,21.9,13.8,10,1.9, 0.00G,999.9,0
702006,26502,20130403,32.1,18.1,10,7.2, 0.00I,999.9,0
702035,26704,20130401,5.5,1.2,6.2,8, 0.00I,999.9,0
702035,26704,20130402,16.9,14.7,7.2,14.1, 0.00I,999.9,0
702035,26704,20130403,21.2,19.4,9.3,8.8, 0.00I,999.9,0
702040,26703,20130401,9.8,6,7.3,8.6, 0.00I,999.9,0
702040,26703,20130402,19.2,16.7,6.8,17.9, 0.00I,999.9,0
702040,26703,20130403,21.4,19,7.6,17.1, 0.00I,999.9,0
702070,26627,20130401,15.2,12.6,7.6,2.1, 0.00I,999.9,0
702070,26627,20130402,20.2,15.1,10,6.9, 0.00I,999.9,0
702070,26627,20130403,34.8,20.4,10,7.7, 0.00I,999.9,0
702075,26644,20130401,27.9,21.2,10,2.7, 0.00I,999.9,0
702075,26644,20130402,28.6,20.5,10,4.9, 0.00I,999.9,0
702075,26644,20130403,34.2,20.8,10,6.3, 0.00I,999.9,0
702084,26650,20130401,15.8,12.9,6.9,2.8, 0.00I,999.9,0
702084,26650,20130402,20.3,17.8,8.8,2.5, 0.00I,999.9,0
702120,26646,20130401,14,11.1,10,2.7,99.99,999.9,1000
702120,26646,20130402,29.2,26,9.2,8.2,99.99,999.9,11000
702185,26622,20130401,19,15.3,3.7,14.2, 0.00I,999.9,0
702185,26622,20130402,28.8,26.2,6.6,10.8, 0.00I,999.9,0
702185,26622,20130403,27.8,22.2,10,11.6, 0.00I,999.9,0
702186,26651,20130401,5.4,2.7,5.6,999.9, 0.00I,999.9,0
702186,26651,20130402,23.3,20.5,9.8,999.9, 0.00I,999.9,0
702186,26651,20130403,24.6,21,10,999.9, 0.00I,999.9,0
702190,26615,20130401,17.7,15.2,7.3,2.5, 0.00G,5.1,100000
702190,26615,20130402,20.9,18,7.9,3.3, 0.00G,3.9,100000
702190,26615,20130403,28.4,21.6,10,3.4, 0.00I,999.9,0
702220,26501,20130401,27.7,21.2,9.8,3.6, 0.00H,999.9,1000
702220,26501,20130402,21.2,13.5,10,2, 0.00I,999.9,0
702220,26501,20130403,32.3,18,10,5.5, 0.00I,999.9,0
702223,26602,20130401,13.6,10.6,8.5,2.9, 0.00I,999.9,0
702223,26602,20130402,22.6,11.2,10,3.4, 0.00I,999.9,0
702223,26602,20130403,31.4,16.4,10,6.4, 0.00I,999.9,0
702310,26510,20130401,34,24.1,10,1.3, 0.00G,26,0
702310,26510,20130402,24.1,16.9,9.8,1.8, 0.01G,26,1000
702310,26510,20130403,31.9,16.3,10,2.2, 0.00G,999.9,0
702315,26536,20130402,26.2,22.9,10,3.8, 0.00I,999.9,0
702320,26516,20130401,28.8,20.5,10,1.7, 0.00I,999.9,0
702320,26516,20130402,31.7,20.1,10,3.5, 0.00I,999.9,0
702320,26516,20130403,36.4,19.6,10,8.3, 0.00I,999.9,0
702325,26443,20130401,31.2,22.3,10,2.1, 0.00I,999.9,0
702325,26443,20130402,31,16.7,10,2.5, 0.00I,999.9,0
702325,26443,20130403,36.6,16,10,1.7, 0.00I,999.9,0
702350,26534,20130401,32.3,25.7,10,3.7,99.99,999.9,11000
702350,26534,20130402,27.3,19.4,10,3.8,99.99,999.9,11000
702460,26512,20130401,29.7,22.4,9.6,0.4, 0.00I,999.9,0
702460,26512,20130402,28.3,16.4,9.8,1.3, 0.00I,999.9,0
702460,26512,20130403,27.4,12.4,10,3.7, 0.00I,999.9,0
702490,26526,20130401,30.6,29.5,25,6, 0.00G,28,0
702490,26526,20130402,19.7,18.5,25,5.2, 0.00G,28,0
702510,26528,20130401,29.5,18.4,10,2, 0.02G,33.1,0
702510,26528,20130402,27.6,13.3,9.8,2.5, 0.00G,999.9,0
702510,26528,20130403,36.1,16.4,10,0.4, 0.00I,999.9,0
702550,26514,20130401,32.7,20.5,27,3.8, 0.02G,35.8,0
702590,26523,20130401,29.7,24.2,10,2.6, 0.00G,999.9,0
702590,26523,20130402,29.2,22.2,9.1,2.5, 0.00G,999.9,100000
702590,26523,20130403,34.6,23,10,3.2, 0.00I,999.9,0
702595,26559,20130401,32.5,25.4,10,2.4, 0.00I,999.9,0
702595,26559,20130402,30.3,21.3,10,2.7, 0.00I,999.9,0
702595,26559,20130403,38.2,20.6,10,2.7, 0.00I,999.9,0
702600,26435,20130401,32.7,25.2,8.1,2.4, 0.02G,999.9,1000
702600,26435,20130402,23.6,13.3,10,3.4, 0.01G,999.9,0
702600,26435,20130403,22,6.8,10,5.4, 0.00G,999.9,0
702606,96401,20130401,30.8,16.7,23.3,1.7, 0.00I,999.9,0
702606,96401,20130402,22.1,13.5,40,3.5, 0.00I,999.9,0
702607,25378,20130401,36.9,35.5,8.5,2.4, 0.02G,999.9,10000
702607,25378,20130402,36.5,32.8,10,3.7, 0.07G,999.9,11000
702607,25378,20130403,37.4,34.6,10,2.4, 0.00G,999.9,0
702610,26411,20130401,30.2,22.4,8.3,0.8, 0.00G,20.9,101000
702610,26411,20130402,25.8,14,10,5.4, 0.00G,20.9,0
702610,26411,20130403,30.4,13.3,10,6.6, 0.00I,999.9,0
702615,26498,20130401,27.5,22.2,7.1,1, 0.00H,18.9,101000
702615,26498,20130402,20.4,10.7,10,3.7, 0.00I,18.9,0
702615,26498,20130403,28,13.8,10,4.5, 0.00I,18.9,0
702625,99999,20130401,32.5,23.6,9,2.5, 0.00D,999.9,11000
702625,99999,20130402,25.7,16.7,10,3.6, 0.00H,999.9,10000
702627,26561,20130401,29.6,20.6,9.2,3.3, 0.00D,999.9,1000
702627,26561,20130402,27.8,15.3,10,5.2, 0.00I,999.9,0
702627,26561,20130403,29.2,10.2,10,10.2, 0.00I,999.9,0
702628,99999,20130401,18.9,12.4,10,1.7, 0.00A,999.9,0
702628,99999,20130402,27.4,20,10,5.6, 0.00A,999.9,0
702645,46403,20130401,27.3,22,8.7,3.2, 0.00I,999.9,0
702645,46403,20130402,22.7,16.3,9.8,2.3, 0.00I,999.9,0
702645,46403,20130403,28.4,12.8,10,2.7, 0.00I,999.9,0
702650,26407,20130401,26.8,19.5,10,1.1, 0.00H,999.9,1000
702650,26407,20130402,20.3,10.5,10,3.1, 0.00I,999.9,0
702650,26407,20130403,30.1,14.6,10,4.6, 0.00I,999.9,0
702670,26415,20130401,30.4,21.9,8.7,4.7, 0.00G,999.9,1000
702670,26415,20130402,25.5,20.3,9.7,4.1, 0.01G,999.9,1000
702670,26415,20130403,30,13.6,10,1.1, 0.00G,999.9,0
702685,27518,20130401,-9.3,-13.8,9.3,11.7, 0.00D,999.9,1000
702685,27518,20130402,-5.1,-9.5,6.3,16.3, 0.00D,999.9,1000
702685,27518,20130403,-11.4,-16.3,9.9,11.8, 0.00H,999.9,1000
702686,99999,20130401,17.8,16.1,3.7,5.7, 0.00H,999.9,101000
702686,99999,20130402,27.7,24.8,8.8,6.7, 0.00H,999.9,1000
702697,99999,20130401,31.3,25.4,10,3.7, 0.00I,999.9,0
702697,99999,20130402,25.7,22.6,7.7,4.8, 0.00I,999.9,100000
702710,26425,20130401,26.4,18.7,9.7,5.8, 0.01G,7.1,1000
702710,26425,20130402,23.8,10,10,5.4, 0.00G,7.1,0
702710,26425,20130403,31.5,13.3,10,4.9, 0.00I,999.9,0
702715,46407,20130401,22.2,17.4,9.1,2.2, 0.00I,999.9,0
702715,46407,20130402,20.3,10.8,10,1.6, 0.00I,999.9,0
702715,46407,20130403,23.6,10.2,10,3.9, 0.00I,999.9,0
702720,26401,20130401,33,26,10,2.6, 0.00A,11,0
702720,26401,20130402,30.7,21,10,1.8, 0.00H,999.9,10000
702720,26401,20130403,35.6,21.3,10,1, 0.00I,999.9,0
702725,26491,20130401,34.3,25.2,10,1.7, 0.00G,999.9,0
702725,26491,20130402,32.2,21.7,10,0.8, 0.00G,999.9,0
702725,26491,20130403,36.7,22.9,10,2.6, 0.00I,999.9,0
702730,26451,20130401,33.7,24.7,10,2.2, 0.00G,16.1,0
702730,26451,20130402,31.1,21.1,10,2.1, 0.00G,16.1,0
702730,26451,20130403,37.1,22.3,10,4.1, 0.00I,15,0
702735,26409,20130401,34.9,25.8,10,1.8, 0.00G,11,0
702735,26409,20130402,32.5,21,10,1.1, 0.00G,11,0
702735,26409,20130403,36.1,22.3,10,1.5, 0.00I,11,0
702740,25331,20130401,32.4,22.3,10,4.3, 0.00G,2,0
702740,25331,20130402,30.6,17.8,10,4.3, 0.00G,999.9,0
702740,25331,20130403,37.4,20.7,10,7.9, 0.00I,999.9,0
702746,26497,20130401,34.3,28,10,1.5, 0.00I,999.9,0
702746,26497,20130402,30.4,22.8,10,1.2, 0.00I,999.9,0
702746,26497,20130403,35.6,21,10,0.7, 0.00I,999.9,0
702755,46404,20130401,32.3,23.9,25.8,3.3, 0.00I,20.1,0
702755,46404,20130402,31.7,20.7,26,4.1,99.99,20.1,1000
702756,26479,20130401,30.1,25.5,9.5,0.8, 0.00I,999.9,0
702756,26479,20130402,32.1,21.5,10,0.7, 0.00I,999.9,0
702756,26479,20130403,36.4,24.2,10,2, 0.00I,999.9,0
702758,27517,20130401,1.4,-5.4,7.3,13.3,99.99,999.9,101000
702758,27517,20130402,-8.4,-14.9,4.9,14.9,99.99,999.9,1000
702770,26438,20130401,37.4,27.3,10,8.3, 0.03G,999.9,0
702770,26438,20130402,35.8,21.4,10,7.4, 0.00G,999.9,0
702770,26438,20130403,37.7,27.5,10,4.1, 0.00I,999.9,0
702910,26412,20130401,29.5,20.6,9.4,4.2, 0.00G,13,101000
702910,26412,20130402,26.7,16.3,8.8,4.6, 0.00G,13,1000
702910,26412,20130403,25.5,13.2,10,0.4, 0.00I,13,0
702913,46402,20130401,28.7,20.1,9.6,4.2,99.99,14.2,101000
702913,46402,20130402,24.2,17,14.7,4,99.99,14.2,101000
702960,26410,20130401,30.4,26.6,9.6,0.2, 0.16G,7.9,10000
702960,26410,20130402,32.1,24.9,10,1.9, 0.00G,7.1,0
702960,26410,20130403,36.2,26.5,9.9,1.1, 0.00A,5.9,0
703050,25623,20130401,22.9,22.3,4.2,4.7,99.99,999.9,101000
703050,25623,20130402,30.7,24.1,10,8,99.99,999.9,10000
703051,26521,20130401,24.8,19,10,0.2, 0.00I,999.9,0
703051,26521,20130402,28.7,19.7,10,2.7, 0.00I,999.9,0
703051,26521,20130403,34.3,20.8,10,3.8, 0.00I,999.9,0
703052,26652,20130401,26.8,20.7,10,0, 0.00I,999.9,0
703052,26652,20130402,31.8,21.4,10,0.7, 0.00I,999.9,0
703053,26654,20130401,18.7,13.3,9.8,0, 0.00I,999.9,0
703053,26654,20130402,30.7,22.5,10,3.2, 0.00I,999.9,0
703053,26654,20130403,32.7,21.3,10,4.4, 0.00I,999.9,0
703054,99999,20130401,10.9,7.8,7.8,3.7, 0.00H,999.9,1000
703054,99999,20130402,26.6,23.3,9.7,7.4, 0.00H,999.9,1000
703055,99999,20130401,25.7,24.4,6.3,1.9, 0.05G,999.9,100000
703055,99999,20130402,23.1,21.9,3.8,4.3, 0.00G,999.9,101000
703056,26635,20130401,16.8,14.2,4.8,0.1, 0.00I,999.9,100000
703056,26635,20130402,25.1,20.3,10,5.9, 0.00I,999.9,0
703056,26635,20130403,28.9,21.7,10,10.2, 0.00I,999.9,0
703057,26653,20130401,14.4,11.9,5.4,6.7, 0.00D,999.9,101000
703057,26653,20130402,28.2,24.6,8.3,10.1, 0.00H,999.9,1000
703057,26653,20130403,27.7,20.2,10,12.1, 0.00I,999.9,0
703058,99999,20130401,32.8,28.1,999.9,11, 0.00I,999.9,0
703058,99999,20130402,35.2,31.6,999.9,11.4, 0.00B,999.9,0
703061,25521,20130401,29,25.6,10,4.8, 0.00I,999.9,0
703061,25521,20130402,26.3,24.1,5.4,4.2, 0.00I,999.9,100000
703061,25521,20130403,33.3,27.6,10,3.8, 0.00I,999.9,0
703080,25713,20130401,32.8,30.9,6.4,17.5, 0.01G,33.9,1000
703080,25713,20130402,28.4,27,6.8,9.4, 0.01G,33.9,101000
703080,25713,20130403,31.2,30,6.7,23.4, 0.00G,999.9,1000
703160,25624,20130401,35.8,31.7,8.1,17, 0.01G,999.9,11000
703160,25624,20130402,35,31.3,5.8,6.7, 0.48G,1.2,11000
703160,25624,20130403,37.4,31.8,8.5,28.5, 0.00G,999.9,11000
703165,25617,20130401,36,31.8,9.3,7.9, 0.00I,999.9,0
703165,25617,20130402,36.7,35.8,8.7,5.4, 0.00I,999.9,0
703165,25617,20130403,37.6,33.2,9.7,7.6, 0.00I,999.9,0
703210,25513,20130401,27.8,26.5,10.9,1.5, 0.00I,999.9,100000
703210,25513,20130402,26.4,24.8,10.9,4, 0.00I,999.9,100000
703210,25513,20130403,34,30.6,25,7.4, 0.00I,999.9,0
703260,25503,20130401,30.1,28.5,4.8,1.8, 0.02G,999.9,101000
703260,25503,20130402,30.1,27.5,7.7,1.9, 0.00G,999.9,100000
703260,25503,20130403,38.2,30.8,10,8.8, 0.00A,999.9,0
703330,25508,20130401,28.2,22.1,8.6,4.5, 0.00I,999.9,0
703330,25508,20130402,36.2,25.3,10,8.9, 0.00I,999.9,0
703330,25508,20130403,38.2,26.2,10,18.6, 0.00I,999.9,0
703333,25518,20130401,32.4,24.6,10,2.7, 0.00I,999.9,0
703333,25518,20130402,35.6,29.4,10,3.7, 0.00I,999.9,0
703333,25518,20130403,36.6,28.6,10,9.9, 0.00I,999.9,0
703334,25519,20130401,27.4,25.5,1,3.2, 0.00G,999.9,0
703334,25519,20130402,26.8,24.3,8.7,3.8, 0.00I,999.9,0
703334,25519,20130403,36.6,31,10,13.8, 0.00I,999.9,0
703400,25506,20130401,33.7,28.1,10,3.3, 0.00G,2,0
703400,25506,20130402,32.6,26.6,8.4,5.7, 0.00G,999.9,100000
703400,25506,20130403,34.8,26.6,10,7.9, 0.00I,999.9,0
703406,26546,20130401,38.1,33.1,30,4.4, 0.00I,999.9,0
703406,26546,20130402,35.3,26,33.3,3.7, 0.00I,999.9,0
703407,26553,20130401,40.1,25.7,10,0, 0.00I,999.9,0
703407,26553,20130402,29.3,19,10,1.5, 0.00I,999.9,0
703407,26553,20130403,32.9,19.4,10,1.5, 0.00I,999.9,0
703410,25507,20130401,34.1,28.8,9.9,2.8, 0.03G,999.9,10000
703410,25507,20130402,34.1,25.2,10,3, 0.00G,999.9,0
703410,25507,20130403,36.4,23.8,10,3, 0.00I,999.9,0
703430,25402,20130401,36.6,33.7,9.8,8, 0.16G,999.9,0
703430,25402,20130402,39.7,31.2,10,4.9, 0.01G,999.9,0
703430,25402,20130403,39.8,30,10,3.8, 0.00G,999.9,0
703500,25501,20130401,36.2,29.4,9.8,6.1, 0.02G,999.9,11000
703500,25501,20130402,34.7,24,10,4.7, 0.00G,999.9,0
703500,25501,20130403,37.3,30.4,10,6.8, 0.00H,999.9,11000
703606,25629,20130401,28.1,27,6.7,2.5, 0.00I,999.9,0
703606,25629,20130402,24.1,22.7,7.3,6.1, 0.00I,999.9,0
703610,25339,20130401,34.3,33.2,6.8,0.2, 0.05G,26,111000
703610,25339,20130402,33.7,32.5,8.5,1.7, 0.20G,28,111000
703610,25339,20130403,34.6,32.8,9.1,2.1, 0.00G,999.9,11000
703620,25335,20130401,35.4,31.5,5.9,1.1, 0.01G,999.9,111000
703620,25335,20130402,37.6,31.2,9.9,14.8, 0.35G,999.9,10000
703620,25335,20130403,38.1,29.3,10,8.3, 0.00G,999.9,0
703621,25516,20130401,34.8,30.2,10,1.3, 0.01G,999.9,10000
703621,25516,20130402,32.3,26.1,10,1.2, 0.00G,999.9,0
703621,25516,20130403,35.8,26.8,10,0.9, 0.00I,999.9,0
703626,25323,20130401,35.4,30.9,5.8,2.1, 0.00G,999.9,11000
703626,25323,20130402,37,32.3,9.7,5.3, 0.31G,999.9,1000
703626,25323,20130403,37.3,31,10,5.1, 0.00G,999.9,0
703644,27515,20130401,-2.7,-5.8,9.5,9.1, 0.00G,999.9,1000
703644,27515,20130402,-7.2,-10.8,6.7,12.3, 0.00G,999.9,0
703644,27515,20130403,-11.4,-14.9,10,8, 0.00I,999.9,0
703655,26552,20130401,20.8,16.3,10,3.4, 0.01G,999.9,0
703655,26552,20130402,23.8,16.5,10,4.8, 0.00G,999.9,0
703655,26552,20130403,26.6,9.2,10,10.7, 0.00I,999.9,0
703670,25322,20130401,36,33.5,6.4,1, 0.00I,999.9,0
703670,25322,20130402,36.5,34.5,9.7,5.4, 0.00I,999.9,0
703670,25322,20130403,39,34.6,10,2.4, 0.00I,999.9,0
703710,25333,20130401,40.3,38.3,8.4,5.4, 0.00G,999.9,10000
703710,25333,20130402,37.5,34.6,9.1,6, 0.46G,999.9,11010
703710,25333,20130403,38.3,33.6,10,4.1, 0.00G,999.9,0
703810,25309,20130401,37.5,34.9,7,5.5, 0.03G,999.9,11000
703810,25309,20130402,37.4,32,9.6,5, 0.30G,999.9,111100
703810,25309,20130403,37,33.7,10,4.2, 0.00G,999.9,11000
703817,25357,20130401,35,33.2,6.2,3.5, 0.52G,1.2,1000
703817,25357,20130402,37.1,35.1,13.7,5, 0.30G,1.2,11000
703830,25310,20130401,41.4,38.9,9.8,0.5, 0.00H,999.9,10000
703830,25310,20130402,38.7,34.9,9.8,1.6, 0.00D,999.9,11000
703830,25310,20130403,39.8,34.3,9.9,0, 0.00I,999.9,0
703855,25369,20130401,38.9,34.5,10,5.6, 0.00G,999.9,0
703855,25369,20130402,37.7,29.3,10,5.6, 0.00I,999.9,0
703855,25369,20130403,37.8,28.8,10,6.7, 0.00I,999.9,0
703860,25329,20130401,39.1,35.1,10,2.2, 0.00I,999.9,0
703860,25329,20130402,36.9,31.3,10,4.5, 0.11G,999.9,0
703860,25329,20130403,37.6,33.2,10,2.6, 0.00G,999.9,0
703870,25338,20130401,39.1,34.5,9.2,4.4, 0.00G,999.9,0
703870,25338,20130402,39.8,30.1,9.8,5, 0.04G,999.9,0
703870,25338,20130403,40.6,30.8,10,4, 0.00G,999.9,0
703884,25376,20130401,42.2,36.6,8.4,1.8, 0.00I,999.9,0
703884,25376,20130402,38.1,31.6,9.1,2.8, 0.00I,999.9,0
703884,25376,20130403,40.2,31.4,8.8,1.8, 0.00I,999.9,0
703886,25348,20130402,40.5,36.1,9.1,2.4, 0.19G,999.9,0
703888,99999,20130401,15.3,12.7,4.5,5.5,99.99,999.9,101000
703888,99999,20130402,10,6.8,10,7, 0.00A,999.9,0
703889,99999,20130401,3.1,-0.4,9.5,11.4, 0.00H,999.9,1000
703889,99999,20130402,6.3,1.9,10,11, 0.00A,999.9,0
703894,25367,20130401,38.4,36.4,7.6,1.8, 0.00G,999.9,110000
703894,25367,20130402,36.4,34,9.1,2.2, 0.09G,999.9,11000
703894,25367,20130403,36.6,31,10,1.1, 0.00G,999.9,0
703925,99999,20130401,29.4,24,10,0, 0.00G,999.9,0
703925,99999,20130402,26.6,22.9,7.7,999.9, 0.00I,999.9,100000
703926,99999,20130401,36,27.4,999.9,6.5, 0.01G,999.9,0
703926,99999,20130402,36.1,30.3,999.9,5.7, 0.00G,999.9,0
703950,25325,20130401,41.4,38.8,9.4,4.3, 0.00G,999.9,100000
703950,25325,20130402,40.7,33.5,10,4.9, 0.05G,999.9,10000
703950,25325,20130403,38.1,30.2,10,2.2, 0.00G,999.9,0
703980,25308,20130401,43.3,37.7,9.2,3.1, 0.00G,999.9,100000
703980,25308,20130402,41.1,31.3,10,3.7, 0.00G,999.9,0
703980,25308,20130403,39.1,30.1,10,1.1, 0.00I,999.9,0
703985,25377,20130401,42.7,37.6,9.9,4, 0.00G,999.9,0
